19.00, 3.00, 
20.00, 21.00, 
14.00, 20.00, 
19.00, 11.00, 
18.00, 25.00, 
22.00, 15.00, 
20.00, 19.00, 
16.00, 23.00, 
26.00, 9.00, 
26.00, 19.00, 
23.00, 22.00, 
17.00, 20.00, 
22.00, 15.00, 
26.00, 17.00, 
22.00, 22.00, 
20.00, 24.00, 
30.00, 8.00, 
37.00, 21.00, 
31.00, 25.00, 
34.00, 14.00, 
36.00, 24.00, 
47.00, 10.00, 
42.00, 22.00, 
57.00, 13.00, 
58.00, 19.00, 
58.00, 21.00, 
51.00, 18.00, 
50.00, 26.00, 
50.00, 22.00, 
49.00, 21.00, 
48.00, 19.00, 
50.00, 16.00, 
42.00, 26.00, 
51.00, 15.00, 
50.00, 20.00, 
46.00, 28.00, 
49.00, 18.00, 
53.00, 12.00, 
51.00, 23.00, 
43.00, 23.00, 
45.00, 18.00, 
52.00, 19.00, 
52.00, 13.00, 
50.00, 21.00, 
49.00, 23.00, 
51.00, 19.00, 
55.00, 14.00, 
61.00, 14.00, 
69.00, 17.00, 
67.00, 19.00, 
72.00, 15.00, 
66.00, 21.00, 
77.00, 13.00, 
76.00, 20.00, 
81.00, 15.00, 
76.00, 24.00, 
74.00, 25.00, 
88.00, 7.00, 
79.00, 27.00, 
82.00, 14.00, 
82.00, 19.00, 
77.00, 26.00, 
81.00, 12.00, 
78.00, 24.00, 
87.00, 12.00, 
81.00, 19.00, 
81.00, 19.00, 
84.00, 19.00, 
83.00, 19.00, 
80.00, 21.00, 
81.00, 16.00, 
70.00, 24.00, 
69.00, 22.00, 
71.00, 15.00, 
61.00, 25.00, 
68.00, 11.00, 
72.00, 16.00, 
60.00, 28.00, 
55.00, 24.00, 
64.00, 11.00, 
60.00, 24.00, 
65.00, 16.00, 
64.00, 16.00, 
56.00, 21.00, 
67.00, 13.00, 
55.00, 26.00, 
64.00, 10.00, 
65.00, 20.00, 
67.00, 19.00, 
76.00, 14.00, 
70.00, 26.00, 
72.00, 9.00, 
64.00, 24.00, 
59.00, 24.00, 
65.00, 10.00, 
60.00, 24.00, 
66.00, 16.00, 
69.00, 15.00, 
65.00, 21.00, 
61.00, 18.00, 
